,General Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do Not,Do Not,Do Not,Do Not,Do Not,Do Not,Do Not,Do Not,Do Not,Do Not,Do Not
,,,,,,,,,,,Quantity,,,,,,,,,,,,,,,,,,,,Reference Supplier Information,,,AV2,,AV3,,,Dimensions mm,,,,,,,,,,,,,,,,,,,,Surrogate Data,,,,,,,,,,,,,,,,,,,,SOP,,,,Tooling,,,,,,,Total Cost (LCL),,,,,,,,,,,,,,,,,,,,Total Cost (USD),,,,,,,,,,,,,,,,,,,,,,,,,,Top BOM Items for End Item 1,,,,,
Line Number,me fala,Description,Ref Des,Circuit,Level,Block,"Part Classification
EBOM/MBOM/Display/
Raw Material/PCB",Unit of Measure,Make/Buy,New Part Y/N,"VPRUAF-18K936-AA

AM/FM/4CH
","VPRUAF-18K936-BA

AM/FM/DIV/6CH
","VPRUAF-18K936-DA

AM/FM/XM/6CH
","VPRUAF-18K936-EA

AM/FM/XM/HD/6CH
","End Item 5
Part Number
Description","End Item 6
Part Number
Description","End Item 7
Part Number
Description","End Item 8
Part Number
Description","End Item 9
Part Number
Description","End Item 10
Part Number
Description","End Item 11
Part Number
Description","End Item 12
Part Number
Description","End Item 13
Part Number
Description","End Item 14
Part Number
Description","End Item 15
Part Number
Description","End Item 16
Part Number
Description","End Item 17
Part Number
Description","End Item 18
Part Number
Description","End Item 19
Part Number
Description","End Item 20
Part Number
Description",Supplier,Manufacturer's Part Number,Part Status,Supplier,MPN,Supplier,MPN,aa,Length,Width,Depth,Weight,Volume,Density,Picture,Colour Effect,Colour Code,Grain,Grain Code,Gloss,Material,GBC Material Part Number,GBC Material Part Name,Material Supplier,Material Specification,Process,Attachment Method,Comments,Part Number,Description,Drawing/ CAD Files,eP #,Description,How to Use,bb,Supplier Name,Supplier Code,Base Price,Freight,Duty,Total Price,Currency,Actual/ Estimate/ Quote/ Surrogate,Payment Term,Days,Incoterm,Pre-SOP PPV %,Post SOP PPV %,Price,Currency,Price in USD,Comments,Global,Regional/Local,Tooling Cost (000),Currency,Tooling in USD,Number of Tools Required for Programme Life,Assumed Location of Tools,"VPRUAF-18K936-AA

AM/FM/4CH
","VPRUAF-18K936-BA

AM/FM/DIV/6CH
","VPRUAF-18K936-DA

AM/FM/XM/6CH
","VPRUAF-18K936-EA

AM/FM/XM/HD/6CH
","End Item 5
Part Number
Description","End Item 6
Part Number
Description","End Item 7
Part Number
Description","End Item 8
Part Number
Description","End Item 9
Part Number
Description","End Item 10
Part Number
Description","End Item 11
Part Number
Description","End Item 12
Part Number
Description","End Item 13
Part Number
Description","End Item 14
Part Number
Description","End Item 15
Part Number
Description","End Item 16
Part Number
Description","End Item 17
Part Number
Description","End Item 18
Part Number
Description","End Item 19
Part Number
Description","End Item 20
Part Number
Description","VPRUAF-18K936-AA

AM/FM/4CH
","VPRUAF-18K936-BA

AM/FM/DIV/6CH
","VPRUAF-18K936-DA

AM/FM/XM/6CH
","VPRUAF-18K936-EA

AM/FM/XM/HD/6CH
","End Item 5
Part Number
Description","End Item 6
Part Number
Description","End Item 7
Part Number
Description","End Item 8
Part Number
Description","End Item 9
Part Number
Description","End Item 10
Part Number
Description","End Item 11
Part Number
Description","End Item 12
Part Number
Description","End Item 13
Part Number
Description","End Item 14
Part Number
Description","End Item 15
Part Number
Description","End Item 16
Part Number
Description","End Item 17
Part Number
Description","End Item 18
Part Number
Description","End Item 19
Part Number
Description","End Item 20
Part Number
Description",,RM/EP/DSP," Tooling 
Allocation",EP,RM,DSP,Rank,PN,BOM Item,Cost ($),Tooling,Supplier
,Do not use this row,Do not use this row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,0,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0,0,0,0,,Do not use this row,Do not use this row,0.000,0,0
1,VPRUAF-18K936-AA,AM/FM/4CH, , ,0,,MBOM,Each,Make,Y,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,0,0,0,Not PP,,,,,0,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0,0,0,0,,VPRUAF-18K936-AA,AM/FM/4CH,0.000,0,0
100,VPRUAF-18K936-BA,AM/FM/DIV/6CH,,MECH,0,,MBOM,Each,Make,Y,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,0,0,0,Not PP,,,,,0,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0,0,0,0,,VPRUAF-18K936-BA,AM/FM/DIV/6CH,0.000,0,0
110,VPRUAF-18K936-DA,AM/FM/XM/6CH,,MECH,0,,MBOM,Each,Make,Y,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,0,0,0,Not PP,,,,,0,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0,0,0,0,,VPRUAF-18K936-DA,AM/FM/XM/6CH,0.000,0,0
120,VPRUAF-18K936-EA,AM/FM/XM/HD/6CH,,MECH,0,,MBOM,Each,Make,Y,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,0,0,0,Not PP,,,,,0,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0,0,0,0,,VPRUAF-18K936-EA,AM/FM/XM/HD/6CH,0.000,0,0
130,VPRUAF-18K884-AA,HSG ASY-RADO RECV,,MECH,1,,MBOM,Each,Buy,Y,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,TBD,,4.73,,,4.73,USD,Quote,,,FCA,,,4.73,USD,4.73,If volume goes above 2M tooling cost will be $449k,,,,,0,,,4.7300,4.7300,4.7300,4.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7300,4.7300,4.7300,4.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,EP,0.0,1,0,0,1,VPRUAF-18K884-AA,HSG ASY-RADO RECV,4.730,0,TBD
140,VPRUAF-18A965-AA,CVR-RADO RECV LWR,,,1,,MBOM,Each,Buy,Y,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,TBD,,1.25,,,1.25,USD,Quote,,,FCA,,,1.25,USD,1.25,Same as Larsen sourced due to delta costs comparing to VPKM5F-18A965-AC S650 ($0.523). Opportunity to be negotiated by Purchasing.,,,145,USD,145,,,1.2500,1.2500,1.2500,1.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2500,1.2500,1.2500,1.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,EP,36.3,1,0,0,8,VPRUAF-18A965-AA,CVR-RADO RECV LWR,1.250,145,TBD
150,VPPR3F-18B968-AA,LBL - RADO RECV IDENT,,,1,,MBOM,Each,Buy,Y,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two (02) different labels ,,,,,,,8,TBD,,0.01,,,0.01,USD,Estimate,,,FCA,,,0.01,USD,0.01,,,,,,0,,,0.0200,0.0200,0.0200,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0200,0.0200,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,EP,0.0,1,0,0,176,VPPR3F-18B968-AA,LBL - RADO RECV IDENT,0.010,0,TBD
